dep,jour,pop,p,cl_age90
33,2020-05-13,1633440.00,4,0
33,2020-05-13,178791.00,0,09
33,2020-05-13,201526.00,1,19
33,2020-05-13,203592.00,1,29
33,2020-05-13,211536.00,0,39
33,2020-05-13,220133.00,0,49
33,2020-05-13,205186.00,1,59
33,2020-05-13,185359.00,0,69
33,2020-05-13,133693.00,0,79
33,2020-05-13,71879.00,1,89
33,2020-05-13,21745.00,0,90
34,2020-05-13,1176145.00,11,0
34,2020-05-13,127187.00,0,09
34,2020-05-13,141071.00,0,19
34,2020-05-13,143808.00,2,29
34,2020-05-13,142491.00,0,39
34,2020-05-13,145553.00,2,49
34,2020-05-13,147241.00,2,59
34,2020-05-13,141237.00,1,69
34,2020-05-13,111994.00,0,79
34,2020-05-13,59127.00,2,89
34,2020-05-13,16436.00,2,90
35,2020-05-13,1082073.00,5,0
35,2020-05-13,127994.00,2,09
35,2020-05-13,146435.00,0,19
35,2020-05-13,134018.00,0,29
35,2020-05-13,136675.00,2,39
35,2020-05-13,143253.00,0,49
35,2020-05-13,135357.00,1,59
35,2020-05-13,115014.00,0,69
35,2020-05-13,80889.00,0,79
35,2020-05-13,49168.00,0,89
35,2020-05-13,13270.00,0,90
36,2020-05-13,217139.00,1,0
36,2020-05-13,19573.00,0,09
36,2020-05-13,23378.00,0,19
36,2020-05-13,17860.00,0,29
36,2020-05-13,20646.00,0,39
36,2020-05-13,25665.00,0,49
36,2020-05-13,30627.00,0,59
36,2020-05-13,33542.00,1,69
36,2020-05-13,25356.00,0,79
36,2020-05-13,15905.00,0,89
36,2020-05-13,4587.00,0,90
37,2020-05-13,605380.00,7,0
37,2020-05-13,66288.00,0,09
37,2020-05-13,75834.00,0,19
37,2020-05-13,65190.00,2,29
37,2020-05-13,71384.00,2,39
37,2020-05-13,75823.00,0,49
37,2020-05-13,77908.00,0,59
37,2020-05-13,75172.00,1,69
37,2020-05-13,54650.00,0,79
37,2020-05-13,32803.00,1,89
37,2020-05-13,10328.00,1,90
38,2020-05-13,1264979.00,5,0
38,2020-05-13,152039.00,0,09
38,2020-05-13,167938.00,0,19
38,2020-05-13,142223.00,2,29
38,2020-05-13,156507.00,1,39
