epci2020;semaine_glissante;clage_65;ti
243300316;2020-09-19-2020-09-25;65;61.5
243400017;2020-09-19-2020-09-25;65;75.1
243500139;2020-09-19-2020-09-25;65;32.5
243700754;2020-09-19-2020-09-25;65;56.9
244200770;2020-09-19-2020-09-25;65;145.4
244400404;2020-09-19-2020-09-25;65;58.2
244500468;2020-09-19-2020-09-25;65;73.9
245400676;2020-09-19-2020-09-25;65;27.6
245900410;2020-09-19-2020-09-25;65;144.6
246300701;2020-09-19-2020-09-25;65;52.3
246700488;2020-09-19-2020-09-25;65;22.9
248300543;2020-09-19-2020-09-25;65;42.6
200023414;2020-09-20-2020-09-26;65;79.7
200030195;2020-09-20-2020-09-26;65;46.9
200039865;2020-09-20-2020-09-26;65;45.7
200040715;2020-09-20-2020-09-26;65;126
200046977;2020-09-20-2020-09-26;65;139
200054781;2020-09-20-2020-09-26;65;108.9
200054807;2020-09-20-2020-09-26;65;148.2
242100410;2020-09-20-2020-09-26;65;73.1
242900314;2020-09-20-2020-09-26;65;23.7
243100518;2020-09-20-2020-09-26;65;131.6
243300316;2020-09-20-2020-09-26;65;58
243400017;2020-09-20-2020-09-26;65;79.8
